name,confidence,models,roles,organizations,source_count,years,sources
אן ־ לוק גודאר,medium,dictabert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/#main; https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/
ז'אן ־ לוק גודאר,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/#main; https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/
פיקולי,medium,hebert,"מפיק, תסריטאי",קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/#main; https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/
jack,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/#main; https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/
פיקו,medium,dictabert,"מפיק, תסריטאי",קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/#main; https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/
בריז'יט בארדו,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/#main; https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/
בריז'יט בארד,medium,dictabert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/#main; https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/
מישל פיקו,medium,dictabert,"מפיק, תסריטאי",קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/#main; https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/
מישל פיקולי,medium,hebert,"מפיק, תסריטאי",קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/#main; https://aravaff.co.il/movies/%d7%94%d7%91%d7%95%d7%96/
טל מוסקוביץ',medium,dictabert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/
גל אל,medium,dictabert,"במאי, מפיק",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/
ומתן גל,medium,dictabert,"במאי, מפיק",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/
ענבר בוזנח,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/
ענבר בוז,medium,dictabert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/
דייזי פילמס,medium,hebert,"במאי, מפיק",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/
דניאל חבקוק,high,dictabert+hebert,מפיק,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/
טל מוסקוביץ'ומתן גלזובסקי,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/
ענת רבניצקי,medium,hebert,מפיק,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/
דייזי פיל,medium,dictabert,"במאי, מפיק",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/
ענת רבני,medium,dictabert,מפיק,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/
ללי,high,dictabert+hebert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/
גל אל - עד,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/
גל רומבק,medium,hebert,"במאי, מפיק",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/#main; https://aravaff.co.il/movies/%d7%94%d7%95%d7%a8%d7%99%d7%a7%d7%9f-%d7%9c%d7%9c%d7%99/
פיפ,medium,dictabert,במאי,קרן קולנוע ערבה,2,"2020,2025",https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/#main
- wa,medium,dictabert,,קרן קולנוע ערבה,2,"2020,2025",https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/#main
ולאה סד,medium,dictabert,במאי,קרן קולנוע ערבה,2,"2020,2025",https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/#main
טוני לונג,medium,dictabert,במאי,קרן קולנוע ערבה,2,"2020,2025",https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/#main
אני,medium,dictabert,"במאי, עורך",קרן קולנוע ערבה,2,"2020,2025",https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/#main
אניידי,medium,hebert,"במאי, עורך",קרן קולנוע ערבה,2,"2020,2025",https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/#main
אילדיקו אניידי,medium,hebert,במאי,קרן קולנוע ערבה,2,"2020,2025",https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/#main
ton,medium,dictabert,,קרן קולנוע ערבה,2,"2020,2025",https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/#main
mor,medium,dictabert,,קרן קולנוע ערבה,2,"2020,2025",https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/#main
טוני לונג ולאה סדו,medium,hebert,במאי,קרן קולנוע ערבה,2,"2020,2025",https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/#main
מרתה,high,dictabert+hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/#main
וטי,medium,dictabert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/#main
אריה הזהב,medium,dictabert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/#main
סווי,medium,dictabert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/#main
ג'וליאן מור,medium,dictabert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/#main
אינגריד,high,dictabert+hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/#main
alb,medium,dictabert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/#main
moo,medium,dictabert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/#main
ג'וליאן מור וטילדה סווינטון,medium,hebert,,קרן קולנוע ערבה,2,2024,https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/; https://aravaff.co.il/movies/%d7%94%d7%97%d7%93%d7%a8-%d7%94%d7%a1%d7%9e%d7%95%d7%9a/#main
מיאזאקי מדינה יפן,medium,dictabert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main
סופי,high,dictabert+hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main
מייקל,medium,dictabert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main
אורסולה,medium,dictabert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main
קים בימוי אליצ'ה רורוואכר,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main
ג'יבלי,medium,hebert,"במאי, מייסד",קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main
##ushi okui,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main
jone,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main
מישל,medium,hebert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main
האוול,high,dictabert+hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main
dian,medium,dictabert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/; https://aravaff.co.il/movies/%d7%94%d7%98%d7%99%d7%a8%d7%94-%d7%94%d7%a0%d7%a2%d7%94/#main
אילקר צ',medium,hebert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
##יבלי,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
מולי מנינג,medium,hebert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
neil gaiman,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
##ק,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
סטפני,medium,dictabert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
גלייזר,medium,dictabert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
בליז,medium,hebert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
למיאזאקי,medium,hebert,במאי,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
##ים בימוי,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
##י קאוריס,medium,hebert,,קרן קולנוע ערבה,2,2023,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
shih - ching tsou,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93%d7%94-%d7%94%d7%a9%d7%9e%d7%90%d7%9c%d7%99%d7%aa/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93%d7%94-%d7%94%d7%a9%d7%9e%d7%90%d7%9c%d7%99%d7%aa/
janel tsai,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93%d7%94-%d7%94%d7%a9%d7%9e%d7%90%d7%9c%d7%99%d7%aa/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93%d7%94-%d7%94%d7%a9%d7%9e%d7%90%d7%9c%d7%99%d7%aa/
shih - yuan ma,medium,hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93%d7%94-%d7%94%d7%a9%d7%9e%d7%90%d7%9c%d7%99%d7%aa/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93%d7%94-%d7%94%d7%a9%d7%9e%d7%90%d7%9c%d7%99%d7%aa/
bak,medium,dictabert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93%d7%94-%d7%94%d7%a9%d7%9e%d7%90%d7%9c%d7%99%d7%aa/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93%d7%94-%d7%94%d7%a9%d7%9e%d7%90%d7%9c%d7%99%d7%aa/
- chi,medium,dictabert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93%d7%94-%d7%94%d7%a9%d7%9e%d7%90%d7%9c%d7%99%d7%aa/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93%d7%94-%d7%94%d7%a9%d7%9e%d7%90%d7%9c%d7%99%d7%aa/
שי - שינג,high,dictabert+hebert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93%d7%94-%d7%94%d7%a9%d7%9e%d7%90%d7%9c%d7%99%d7%aa/#main; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93%d7%94-%d7%94%d7%a9%d7%9e%d7%90%d7%9c%d7%99%d7%aa/
ces,medium,dictabert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%9e%d7%91%d7%98-%d7%94%d7%9e%d7%a1%d7%aa%d7%95%d7%a8%d7%99-%d7%a9%d7%9c-%d7%94%d7%a4%d7%9c%d7%9e%d7%99%d7%a0%d7%92%d7%95/#main; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%91%d7%98-%d7%94%d7%9e%d7%a1%d7%aa%d7%95%d7%a8%d7%99-%d7%a9%d7%9c-%d7%94%d7%a4%d7%9c%d7%9e%d7%99%d7%a0%d7%92%d7%95/
aud,medium,dictabert,מפיק,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%9e%d7%91%d7%98-%d7%94%d7%9e%d7%a1%d7%aa%d7%95%d7%a8%d7%99-%d7%a9%d7%9c-%d7%94%d7%a4%d7%9c%d7%9e%d7%99%d7%a0%d7%92%d7%95/#main; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%91%d7%98-%d7%94%d7%9e%d7%a1%d7%aa%d7%95%d7%a8%d7%99-%d7%a9%d7%9c-%d7%94%d7%a4%d7%9c%d7%9e%d7%99%d7%a0%d7%92%d7%95/
דייגו ס,medium,hebert,במאי,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%9e%d7%91%d7%98-%d7%94%d7%9e%d7%a1%d7%aa%d7%95%d7%a8%d7%99-%d7%a9%d7%9c-%d7%94%d7%a4%d7%9c%d7%9e%d7%99%d7%a0%d7%92%d7%95/#main; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%91%d7%98-%d7%94%d7%9e%d7%a1%d7%aa%d7%95%d7%a8%d7%99-%d7%a9%d7%9c-%d7%94%d7%a4%d7%9c%d7%9e%d7%99%d7%a0%d7%92%d7%95/
die,medium,dictabert,,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%9e%d7%91%d7%98-%d7%94%d7%9e%d7%a1%d7%aa%d7%95%d7%a8%d7%99-%d7%a9%d7%9c-%d7%94%d7%a4%d7%9c%d7%9e%d7%99%d7%a0%d7%92%d7%95/#main; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%91%d7%98-%d7%94%d7%9e%d7%a1%d7%aa%d7%95%d7%a8%d7%99-%d7%a9%d7%9c-%d7%94%d7%a4%d7%9c%d7%9e%d7%99%d7%a0%d7%92%d7%95/
איי,medium,dictabert,"במאי, מפיק",קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/#main; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/
אירו,medium,hebert,מפיק,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/#main; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/
סלימאן אבו כף,high,dictabert+hebert,"במאי, מפיק",קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/#main; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/
עמית חכמוב,medium,hebert,מפיק,קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/#main; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/
סלאמה אבו אלג,medium,dictabert,"במאי, מפיק",קרן קולנוע ערבה,2,2025,https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/#main; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/
