name,confidence,models,roles,organizations,source_count,years,sources
היי,medium,dictabert,"מייסד, במאי, מפיק",קרן קולנוע ערבה,8,"2016,2023",https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/#main; https://aravaff.co.il/movies/%d7%94%d7%a6%d7%91-%d7%94%d7%90%d7%93%d7%95%d7%9d/#main; https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/
ברנינג מן,medium,hebert,במאי,"מרכז קהילה ערבה, קרן הקולנוע ערבה, קרן קולנוע ערבה, המועצה האזורית ערבה תיכונה, קרן קולנוע נגב, משרד התרבות, קרן גשר, קרן גשר לקולנוע, קרן קולנוע מדרום, מכללת ספיר",7,"2020,2021,2025",https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a0%d7%92%d7%91-%d7%94%d7%9e%d7%90%d7%95%d7%97%d7%93%d7%aa/#main; https://aravaff.co.il/%D7%A1%D7%A8%D7%98%D7%99-%D7%A7%D7%A8%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2-%D7%A2%D7%A8%D7%91%D7%94-2/#main
ג'ונתן גלייזר,high,dictabert+hebert,"במאי, מפיק",קרן קולנוע ערבה,7,2023,https://aravaff.co.il/movies/%d7%90%d7%96%d7%95%d7%a8-%d7%94%d7%a2%d7%a0%d7%99%d7%99%d7%9f/#main; https://aravaff.co.il/movies/%d7%90%d7%96%d7%95%d7%a8-%d7%94%d7%a2%d7%a0%d7%99%d7%99%d7%9f/; https://aravaff.co.il/movies/%d7%94%d7%99%d7%9c%d7%93-%d7%95%d7%94%d7%90%d7%a0%d7%a4%d7%94/
מיאזאקי,high,dictabert+hebert,"במאי, מייסד, מפיק",קרן קולנוע ערבה,7,2023,https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/#main; https://aravaff.co.il/archive/2023/#main; https://aravaff.co.il/movies/%d7%a4%d7%95%d7%a0%d7%99%d7%95-%d7%a2%d7%9c-%d7%94%d7%a6%d7%95%d7%a7-%d7%9c%d7%99%d7%93-%d7%94%d7%99%d7%9d/
aravaff,medium,hebert,במאי,"קרן הקולנוע ערבה, קרן קולנוע ערבה",7,"2023,2024,2025",https://aravaff.co.il/movies/%d7%9e%d7%98%d7%90%d7%95%d7%a8%d7%99%d7%9d/; https://aravaff.co.il/movies/%d7%a9%d7%9c%d7%95%d7%a9%d7%94-%d7%a7%d7%99%d7%9c%d7%95%d7%9e%d7%98%d7%a8%d7%99%d7%9d-%d7%9e%d7%a1%d7%95%d7%a3-%d7%94%d7%a2%d7%95%d7%9c%d7%9d/#main; https://aravaff.co.il/movies/%d7%a9%d7%9c%d7%95%d7%a9%d7%94-%d7%a7%d7%99%d7%9c%d7%95%d7%9e%d7%98%d7%a8%d7%99%d7%9d-%d7%9e%d7%a1%d7%95%d7%a3-%d7%94%d7%a2%d7%95%d7%9c%d7%9d/
מיקל,medium,dictabert,במאי,"קרן קולנוע ערבה, קרן קולנוע נגב",7,"2020,2021,2025",https://aravaff.co.il/movies/%d7%99%d7%a6%d7%a8%d7%99%d7%9d/; https://aravaff.co.il/archive/2025/#main; https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main
איל,medium,dictabert+hebert,"במאי, שחקן","קרן קולנוע ערבה, קרן קולנוע נגב",7,"2020,2023,2025",https://aravaff.co.il/movies/%d7%94%d7%97%d7%91%d7%a8-%d7%94%d7%a9%d7%a7%d7%98/; https://aravaff.co.il/movies/%d7%97%d7%93%d7%a8-%d7%94%d7%9e%d7%95%d7%a8%d7%99%d7%9d/#main; https://aravaff.co.il/archive/2025/#main
אבו כף,medium,dictabert,"במאי, מפיק","קרן קולנוע ערבה, קרן קולנוע נגב",7,"2020,2021,2025",https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/#main; https://aravaff.co.il/movies/%d7%a7%d7%a6%d7%a8-%d7%91%d7%9e%d7%93%d7%91%d7%a8-%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%94%d7%a0%d7%92%d7%91-%d7%94%d7%9e%d7%90%d7%95%d7%97%d7%93/
יוסרא אבו כף,medium,hebert,"במאי, מפיק","קרן קולנוע ערבה, קרן קולנוע נגב",7,"2020,2021,2025",https://aravaff.co.il/%d7%9c%d7%95%d7%97-%d7%94%d7%a7%d7%a8%d7%a0%d7%95%d7%aa/#main; https://aravaff.co.il/movies/%d7%94%d7%9e%d7%93%d7%99%d7%a0%d7%94-%d7%a7%d7%95%d7%a8%d7%90%d7%aa-%d7%9c%d7%9a/#main; https://aravaff.co.il/movies/%d7%a7%d7%a6%d7%a8-%d7%91%d7%9e%d7%93%d7%91%d7%a8-%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%94%d7%a0%d7%92%d7%91-%d7%94%d7%9e%d7%90%d7%95%d7%97%d7%93/
אייל חלפון,medium,hebert,במאי,"מרכז קהילה ערבה, קרן הקולנוע ערבה, קרן קולנוע ערבה, המועצה האזורית ערבה תיכונה, קרן קולנוע נגב, משרד התרבות, קרן גשר, קרן גשר לקולנוע, קרן קולנוע מדרום, מכללת ספיר",6,"2020,2025",https://aravaff.co.il/%D7%A1%D7%A8%D7%98%D7%99-%D7%A7%D7%A8%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2-%D7%A2%D7%A8%D7%91%D7%94-2/#main; https://aravaff.co.il/%d7%a1%d7%a8%d7%98%d7%99-%d7%a7%d7%a8%d7%9f-%d7%a7%d7%95%d7%9c%d7%a0%d7%95%d7%a2-%d7%a0%d7%92%d7%91-%d7%94%d7%9e%d7%90%d7%95%d7%97%d7%93%d7%aa/#main; https://aravaff.co.il/%D7%A1%D7%A8%D7%98%D7%99-%D7%A7%D7%A8%D7%9F-%D7%A7%D7%95%D7%9C%D7%A0%D7%95%D7%A2-%D7%A2%D7%A8%D7%91%D7%94-2/
