=== CI Scraper Sat May 30 10:31:26 IDT 2026 ===
  104 post sitemaps (0000-00 excluded, recent-first)
  [83/104] 900 films from sitemap, total OK: 900, 31min
  [84/104] 989 films from sitemap, total OK: 989, 33min
  [85/104] 1030 films from sitemap, total OK: 1030, 35min
  [86/104] 1049 films from sitemap, total OK: 1049, 38min
  [87/104] 1073 films from sitemap, total OK: 1073, 39min
  [88/104] 1080 films from sitemap, total OK: 1080, 40min
  [89/104] 1263 films from sitemap, total OK: 1263, 42min
  [90/104] 1299 films from sitemap, total OK: 1299, 44min
  [91/104] 1335 films from sitemap, total OK: 1335, 46min
  [92/104] 1397 films from sitemap, total OK: 1397, 49min
  [93/104] 1493 films from sitemap, total OK: 1493, 55min
  [94/104] 1539 films from sitemap, total OK: 1539, 57min
  [95/104] 1570 films from sitemap, total OK: 1570, 59min
  [96/104] 1594 films from sitemap, total OK: 1594, 60min
  [97/104] 1679 films from sitemap, total OK: 1679, 64min
  [98/104] 1832 films from sitemap, total OK: 1832, 71min
  [99/104] 2004 films from sitemap, total OK: 2004, 79min
  [100/104] 2048 films from sitemap, total OK: 2048, 81min
  [101/104] 2058 films from sitemap, total OK: 2058, 81min
  [102/104] 2380 films from sitemap, total OK: 2380, 84min
  [103/104] 2380 films from sitemap, total OK: 2380, 84min
  [104/104] 2380 films from sitemap, total OK: 2380, 84min

Done: 2380 CI films in 84.2 min
  With crew: 1712, with cast: 1324
  → data/cinemaofisrael/raw_films.json
