URLs to scrape: 1491
  [54/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9c%d7%91%d7%95%d7%9d-61/ (16484 bytes)
  [55/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9c%d7%95%d7%9f-%d7%90%d7%97-%d7%a9%d7%9c%d7%99-%d7%92%d7%99%d7%91%d7%95%d7%a8/ (15341 bytes)
  [56/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%97%d7%a8%d7%aa/ (17864 bytes)
  [57/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9c%d7%99%d7%a4%d7%9c%d7%98/ (15500 bytes)
  [58/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9c%d7%9b%d7%a1-%d7%95%d7%a0%d7%93%d7%99%d7%94-%d7%9c%d7%a0%d7%a6%d7%97/ (13961 bytes)
  [59/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9c%d7%a0%d7%91%d7%99-%d7%a7%d7%98%d7%a2/ (16012 bytes)
  [60/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9c-%d7%92%d7%99%d7%a1%d7%a8/ (17997 bytes)
  [61/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9c-%d7%97%d7%9c%d7%90%d7%a7/ (16286 bytes)
  [62/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9c-%d7%aa%d7%92%d7%a2%d7%95-%d7%9c%d7%99-%d7%91%d7%a9%d7%95%d7%90%d7%94/ (16613 bytes)
  [63/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9c-%d7%aa%d7%a4%d7%aa%d7%97%d7%99-%d7%90%d7%aa-%d7%94%d7%93%d7%9c%d7%aa-%d7%9c%d7%96%d7%a8%d7%99%d7%9d/ (16205 bytes)
  [64/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9d-%d7%90%d7%aa-%d7%a9%d7%95%d7%9e%d7%a2%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99/ (13847 bytes)
  [65/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9d-%d7%94%d7%a2%d7%95%d7%9c%d7%9d-%d7%94%d7%96%d7%94-%d7%94%d7%95%d7%90-%d7%99%d7%9d/ (17594 bytes)
  [66/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9c-%d7%aa%d7%a7%d7%a8%d7%90-%d7%9c%d7%99-%d7%97%d7%9e%d7%95%d7%93/ (17499 bytes)
  [67/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9e%d7%90-%d7%90%d7%93%d7%9e%d7%94/ (10070 bytes)
  [68/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9e%d7%90-%d7%97%d7%95%d7%96%d7%a8%d7%aa-%d7%94%d7%91%d7%99%d7%aa%d7%94/ (24777 bytes)
  [69/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9e%d7%90-%d7%99%d7%9c%d7%93%d7%94/ (16263 bytes)
  [70/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9d-%d7%9c%d7%95%d7%9e%d7%a8-%d7%90%d7%aa-%d7%94%d7%90%d7%9e%d7%aa/ (20078 bytes)
  [71/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9e%d7%90-%d7%9b%d7%9c%d7%9b%d7%9c%d7%94/ (13565 bytes)
  [72/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9e%d7%90-%d7%9c%d7%90-%d7%94%d7%a8%d7%92%d7%aa%d7%99-%d7%90%d7%aa-%d7%94%d7%91%d7%aa-%d7%a9%d7%9c%d7%9a/ (21554 bytes)
  [73/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9e%d7%90-%d7%a9%d7%9c-%d7%95%d7%9c%d7%a0%d7%98%d7%99%d7%a0%d7%94/ (18167 bytes)
  [74/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9e%d7%90-%d7%9c%d7%90-%d7%9e%d7%a9%d7%95%d7%92%d7%a2%d7%aa/ (15961 bytes)
  [75/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9e%d7%94%d7%95%d7%aa/ (15051 bytes)
  [76/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9e%d7%99%d7%9c-%d7%97%d7%91%d7%99%d7%91%d7%99-%d7%a0%d7%a9%d7%90%d7%a8%d7%aa%d7%99-%d7%91%d7%97%d7%99%d7%a4%d7%94/ (17459 bytes)
  [77/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9e%d7%90-%d7%a9%d7%9c-%d7%a2%d7%95%d7%9e%d7%a8/ (16239 bytes)
  [78/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9e%d7%99%d7%9c-%d7%9e%d7%a1%d7%a2%d7%95-%d7%a9%d7%9c-%d7%92%d7%99%d7%91%d7%95%d7%a8/ (19706 bytes)
  [79/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%9e%d7%99%d7%a6%d7%95%d7%aa/ (17176 bytes)
  [80/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a0%d7%90-%d7%94%d7%9e%d7%aa%d7%9f-%d7%9c%d7%a0%d7%a6%d7%99%d7%92/ (10253 bytes)
  [81/1491] ✓ https://nfct.org.il/blog/movies/%d7%90%d7%a0%d7%97%d7%a0%d7%95-%d7%a6%d7%a8%d7%99%d7%9b%d7%99%d7%9d-%d7%9c%d7%93%d7%91%d7%a8/ (13132 bytes)
